index,mode_id,field_0x04,field_0x08,field_0x0c,field_0x10,field_0x14,field_0x18,field_0x1c,field_0x20,field_0x24,field_0x28,field_0x2c,field_0x30,field_0x34,field_0x38,field_0x3c,field_0x40,field_0x44,field_0x48,field_0x4c,field_0x50,field_0x54,field_0x58,field_0x5c,field_0x60
52,8,2016,1344,0,0,2016,1344,0,0,2016,1344,0,0,0,0,0,60,3,2,3,3,2,0,100,21
53,9,2016,672,0,0,2016,672,0,0,2016,672,0,0,0,0,0,60,3,3,3,6,2,0,100,23
54,141,6064,4042,0,0,6064,4042,0,0,6064,4042,6000,4000,32,21,1,18,1,1,1,1,2,0,50,16
55,142,6064,4042,0,0,6064,4042,0,0,6064,4042,6000,4000,32,21,0,18,1,1,1,1,2,0,70,17
56,143,3032,2012,0,0,3032,2012,0,0,3032,2012,3000,2000,16,6,0,18,2,2,2,2,2,0,100,18
57,144,3968,2640,0,0,3968,2640,0,0,3968,2640,0,0,0,0,1,18,1,1,1,1,2,1,50,16
58,145,3968,2640,0,0,3968,2640,0,0,3968,2640,0,0,0,0,0,18,1,1,1,1,2,1,70,17
59,146,1984,1320,0,0,1984,1320,0,0,1984,1320,0,0,0,0,0,18,2,2,2,2,2,1,70,18
60,147,2016,1344,0,0,2016,1344,0,0,2016,1344,0,0,0,0,0,100,3,2,3,3,2,0,100,21
61,148,2016,1344,0,0,2016,1344,0,0,2016,1344,0,0,0,0,0,70,3,2,3,3,2,0,100,21
62,149,2016,1344,0,0,2016,1344,0,0,2016,1344,0,0,0,0,0,80,3,2,3,3,2,0,100,21
63,150,2016,1344,0,0,2016,1344,0,0,2016,1344,0,0,0,0,0,90,3,2,3,3,2,0,100,21
64,151,6064,3412,0,0,6064,3412,0,0,6064,3412,0,0,0,0,0,24,1,1,1,1,1,0,70,17
65,152,4176,2174,0,0,4176,2174,0,0,4176,2174,0,0,0,0,0,24,1,1,1,1,1,1,70,17
66,218,3032,1708,0,0,3032,1708,0,0,3032,1708,0,0,0,0,0,24,2,2,2,2,1,0,70,18
67,219,2088,1174,0,0,2088,1174,0,0,2088,1174,0,0,0,0,0,24,2,2,2,2,1,1,70,18
68,220,3032,1708,0,0,3032,1708,0,0,3032,1708,0,0,0,0,0,48,2,2,2,2,1,0,70,18
69,221,2088,1174,0,0,2088,1174,0,0,2088,1174,0,0,0,0,0,48,2,2,2,2,1,1,70,18
